3OH!3 ft. Kesha	My First Kiss
The Neighbourhood	Daddy Issues
The Neighbourhood	Sweater Weather
Camila Cabello ft. Young Thug	Havana
Katy Perry	This Is How We Do
Jason Derulo	Take You Dancing
Lady Gaga	Enigma
Harry Styles 	Watermelon Sugar
Cody Simpson	Surfboard
Cult, the	Love Removal Machine
Jessie J     	Domino
Karmin    	Brokenhearted
Beyonce	Pretty Hurts
Studio Killers	Jenny (I Wanna Ruin Our Friendship)
Code Orange	Let Me In [The Fiend Bray Wyatt]
Mother Mother	Hayloft
5 Seconds Of Summer	Jet Black Heart
Chainsmokers ft Rozes	Roses
Halsey	New Americana
Lukas Graham	7 Years Old
Mac Miller 	Come Back to Earth
Riton ft. Kah-lo	Rinse & Repeat
Robin Schulz	Sugar
Spada & Elen Levon	Cool Enough
AWOLNATION	Sail
Kane Brown	Good as You
Louis Tomlinson	We Made It
Luke Combs 	Beer Never Broke My Heart
Morgan Wallen	Whiskey Glasses
Niall Horan	Nice To Meet Ya
Audiosoulz	Dancefloor
FILV & Edmofo feat. Emma Peters	Clandestina
Post Malone	Take What You Want ft. Ozzy Osbourne & Travis Scott
Stormzy	Own It (feat. Ed Sheeran & Burna Boy)
The Weeknd	Can't Feel my Face
Tove Lo	Habits (stay high)
Travis Scott	Highest in the Room
Jax Jones feat. Bebe Rexha	Harder
Jorja Smith	Be Honest ft. Burna Boy
Ed Sheeran	South of the Border (feat. Camila Cabello & Cardi B)
Isabela Meced	Papi
Kygo, Donna Summer	Hot Stuff
Miley Cyrus	Midnight Sky
YouNotUs 	Narcotic ft. Janieck & Senex
5 Seconds Of Summer	Teeth
ROSALIA & Ozuna	Yo x Ti, Tu x Mi [spanish]
Tanir & Tyomcha	Da Da Da [russian]
Sam Smith	Dancing With A Stranger
Freya Ridings	Castles
Halsey	Graveyard
The Prince Karma	No More
Daddy Yankee	Con Calma
Parah Dice	Hot
Major Lazer & Khalid	Trigger
BTS	Black Swan
BTS	Blue & Grey
BTS	Dis-ease
BTS	Film out
BTS	Filter
BTS	Fly To My Room
BTS	Friends
BTS	Inner Child
BTS	Interlude : Shadow
BTS	Life Goes On
BTS	Louder than bombs
BTS	Moon
BTS	My Time
BTS	Respect
BTS	Skit
BTS	Stay
BTS	Stay Gold
BTS	Telepathy
BTS	UGH!
BTS	ON (Feat. Sia)
BTS	Outro : Ego
Anuell AA	Secreto ft. Karol G
Nicky Jam	Whine Up
Tainy	Adicto (with Anuel AA & Ozuna)
Anitta, Lexa & Luísa Sonza	Combatchy (feat. MC Rebecca)
Apache 207	Roller
Samra	COLT
Red Velvet	Psycho
Red Velvet - IRENE & SEULGI	Monster
TWICE	Alcohol-Free
TWICE	I CAN'T STOP ME
TWICE	MORE & MORE
Go_A	SHUM
Bad Bunny & Jhay Cortez	Bakiti
Black Eyed Peas X J Balvin	RITMO (Bad Boys For Life)
Blondie	Heart of Glass
Chris Brown 	Undecided
Khalid	Better
Big Red Machine	Renegade (feat. Taylor Swift)
Billie Eilish	NDA
Bring Me The Horizon	Can You Feel My Heart
Bring Me The Horizon	Parasite Eve
Calvin Harris	Over Now (with The Weeknd)
Dream	Mask
Lil Nas X	old town road
Salem ilese	Mad at Disney
Selena Gomez	Cut You Off
Tame Impala	The Less I Know The Better
Tate McRae	you broke me first
Taylor Swift	the 1
2 Chainz	Watch Out
2 Chainz	I'm Different
2 Chainz feat. Drake	No Lie
2 Pistols ft. Jason Derulo	Redonkulous
21 Savage	A lot
21 Savage  	Can’t leave without it
21 Savage, Metro Boomin	Brand New Draco
21 Savage, Metro Boomin	Glock In My Lap
21 Savage, Metro Boomin	Many Men
21 Savage, Metro Boomin	Mr. Right Now (feat. Drake)
21 Savage, Metro Boomin	My Dawg
21 Savage, Metro Boomin	No Opp Left Behind
21 Savage, Metro Boomin	Rich ni**a Sh*t (feat. Young Thug)
21 Savage, Metro Boomin	RIP Luv
21 Savage, Metro Boomin	Runnin
21 Savage, Metro Boomin	Slidin
21 Savage, Metro Boomin	Snitches & Rats (feat. Young Nudy)
21 Savage, Metro Boomin	Steppin On ni**as
22Gz ft. Kodak Black	Spin the Block
24kGoldn	CITY OF ANGELS
24kGoldn	Valentino
24kGoldn Featuring iann dior	Mood
347aidan	Dancing in My Room
5 Seconds of Summer	Old Me
50 Cent ft. Eminem & Adam Levine	My Life
6ix9ine	GOOBA
6ix9ine	PUNANI
6ix9ine	TROLLZ (with Nicki Minaj)
6ix9ine	YAYA
6IX9INE	FEFE
A Boogie Wit da Hoodie	Bleed
A Boogie Wit da Hoodie	King Of My City
A Boogie Wit da Hoodie	Might Not Give Up (feat. Young Thug)
A Boogie Wit da Hoodie	Numbers (feat. Roddy Ricch, Gunna and London On Da Track)
A Boogie Wit da Hoodie	Look Back At It
A Boogie wit Da Hoodie	My Sh*t
A Boogie Wit da Hoodie feat. 6ix9ine	Swervin
A Boogie Wit da Hoodie ft. Juice Wrld	Deamons and Angels
A Boogie Wit da Hoodie,Offset and Tyga)	Startender
A$AP Ferg	Move Ya Hips (feat. Nicki Minaj & MadeinTYO)
A$AP Ferg	Plain Jane REMIX
A$AP Rocky	Long Live A$ap
A$AP Rocky	Goldie
A$AP Rocky Featuring Skrillex & Birdy Nam Nam	Wild for the Night
A$AP Rocky ft. Drake, 2 Chainz and Kendrick Lamar	F**kin Problems
A$ton Wyld	Next Level
Aaron Carter	Fool's Gold
Ace Hood feat. Future and Rick Ross	Bugatti
Adam Lambert	Another Lonely Night
Adam Lambert	Ghost Town
Adelitas Way	Bad Reputation
AJ Tracey	Psych Out!
AJR	Dear Winter
AJR	I'm Not Famous
Alan Walker, A$AP Rocky	Live Fast (PUBGM)
Alessia Cara ft G-Eazy	Wild Things
Ali Gatie	It's You
Ali Gatie	What If I Told You That I Love You
